# darshan log version: 3.10
# compression method: ZLIB
# exe: /global/cscratch1/sd/asim/ssurf/s16/./iomi3d.Linux.64.CC.ftn.OPTHIGH.MPI.ex.sim.d.col.4 -i inputs.r888.555
# uid: 8850
# jobid: 5792842
# start_time: 1499707955
# start_time_asci: Mon Jul 10 10:32:35 2017
# end_time: 1499707981
# end_time_asci: Mon Jul 10 10:33:01 2017
# nprocs: 128
# run time: 27
# metadata: lib_ver = 3.1.4
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 498 bytes (compressed)
# record table: 278 bytes (compressed)
# POSIX module: 12674 bytes (compressed), ver=3
# MPI-IO module: 14794 bytes (compressed), ver=2
# LUSTRE module: 22188 bytes (compressed), ver=1
# STDIO module: 9473 bytes (compressed), ver=1
# DXT_POSIX module: 79846 bytes (compressed), ver=1
# DXT_MPIIO module: 12606 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/p0	squashfs
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/opt/modulefiles/cray-python	dvs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/opt/modulefiles/cray-R	dvs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	dvs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projecta	dvs
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	dvs
# mount entry:	/usr/sbin/ibstat	overlayfs
# mount entry:	/new_root/lower	dvs
# mount entry:	/var/spool/cron	overlayfs
# mount entry:	/global/project	dvs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	dvs
# mount entry:	/etc/dat.conf	overlayfs
# mount entry:	/opt/cray/pe	dvs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/opt/python	dvs
# mount entry:	/opt/chapel	dvs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/opt/intel	autofs
# mount entry:	/opt/intel	dvs
# mount entry:	/opt/java	dvs
# mount entry:	/opt/gcc	dvs
# mount entry:	/nersc	dvs
# mount entry:	/opt/R	dvs
# mount entry:	/dev	devtmpfs
# mount entry:	/	rootfs
# mount entry:	/	overlayfs

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 3488565796830679193, file_name: /global/cscratch1/sd/asim/ssurf/s16/sim_phi00.hdf5
# DXT, rank: 0, hostname: nid00608
# DXT, write_count: 154, read_count: 0
# DXT, mnt_pt: /global/cscratch1, fs_type: lustre
# DXT, Lustre stripe_size: 16777216, Lustre stripe_count: 48
# DXT, Lustre OST obdidx: 204 230 66 132 52 146 214 86 200 176 24 16 6 224 76 90 198 190 112 114 58 78 102 74 32 68 36 48 208 30 194 238 182 126 96 28 142 188 34 44 22 164 54 140 92 110 20 156
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)  [OST]
 X_POSIX       0  write        0            4320        28000      7.3918      7.3921  [204]
 X_POSIX       0  write        1           34368         4000      7.4044      7.4045  [204]
 X_POSIX       0  write        2      1886632416         8008      7.4195      7.4198  [198]
 X_POSIX       0  write        3           40416     16736800      7.6786      7.7302  [204]
 X_POSIX       0  write        4       805306368     16777216      7.7676      7.7885  [204]
 X_POSIX       0  write        5      1610612736     16777216      7.8187      7.9880  [204]
 X_POSIX       0  write        6      1886642472       465500      7.9991      7.9996  [198]
 X_POSIX       0  write        7      1887107972        66500      7.9996      7.9997  [198]
 X_POSIX       0  write        8      8401978568       133008      8.0011      8.0013  [ 58]
 X_POSIX       0  write        9      2415919104     16777216      8.1410      8.1873  [204]
 X_POSIX       0  write       10      3221225472     16777216      8.2417      8.3040  [204]
 X_POSIX       0  write       11      4026531840     16777216      8.3451      8.3879  [204]
 X_POSIX       0  write       12      4831838208     16777216      8.4181      8.4617  [204]
 X_POSIX       0  write       13      5637144576     16777216      8.4858      8.5137  [204]
 X_POSIX       0  write       14      6442450944     16777216      8.6344      8.6837  [204]
 X_POSIX       0  write       15      7247757312     16777216      8.6983      8.7349  [204]
 X_POSIX       0  write       16      8053063680     16777216      8.7975      8.8591  [204]
 X_POSIX       0  write       17      8402111576      4795000      8.9600      9.1145  [ 58]  [ 78]
 X_POSIX       0  write       18      8406906576       685000      9.1145      9.1154  [ 78]
 X_POSIX       0  write       19    114734217624      1370008      9.1280      9.2953  [102]
 X_POSIX       0  write       20      8858370048     16777216      9.9396      9.9966  [204]
 X_POSIX       0  write       21      9663676416     16777216     10.0556     10.0934  [204]
 X_POSIX       0  write       22     10468982784     16777216     10.1360     10.1819  [204]
 X_POSIX       0  write       23     11274289152     16777216     10.2283     10.2702  [204]
 X_POSIX       0  write       24     12079595520     16777216     10.3114     10.3432  [204]
 X_POSIX       0  write       25     12884901888     16777216     10.4035     10.4289  [204]
 X_POSIX       0  write       26     13690208256     16777216     10.4390     10.4771  [204]
 X_POSIX       0  write       27     14495514624     16777216     10.5530     10.6037  [204]
 X_POSIX       0  write       28     15300820992     16777216     10.6685     10.7118  [204]
 X_POSIX       0  write       29     16106127360     16777216     10.7695     10.8000  [204]
 X_POSIX       0  write       30     16911433728     16777216     10.8477     10.8728  [204]
 X_POSIX       0  write       31     17716740096     16777216     10.9332     10.9563  [204]
 X_POSIX       0  write       32     18522046464     16777216     11.0210     11.0608  [204]
 X_POSIX       0  write       33     19327352832     16777216     11.1116     11.1348  [204]
 X_POSIX       0  write       34     20132659200     16777216     11.2017     11.2290  [204]
 X_POSIX       0  write       35     20937965568     16777216     11.2927     11.3290  [204]
 X_POSIX       0  write       36     21743271936     16777216     11.4002     11.4314  [204]
 X_POSIX       0  write       37     22548578304     16777216     11.4672     11.5070  [204]
 X_POSIX       0  write       38     23353884672     16777216     11.5714     11.6116  [204]
 X_POSIX       0  write       39     24159191040     16777216     11.6482     11.6845  [204]
 X_POSIX       0  write       40     24964497408     16777216     11.7475     11.8131  [204]
 X_POSIX       0  write       41     25769803776     16777216     11.8466     11.8841  [204]
 X_POSIX       0  write       42     26575110144     16777216     11.9739     11.9980  [204]
 X_POSIX       0  write       43     27380416512     16777216     12.0163     12.0563  [204]
 X_POSIX       0  write       44     28185722880     16777216     12.1109     12.1655  [204]
